product_description,product_price,product_star_ratings,product_global_ratings,product_img_src
Apple iPhone 15 Pro (1 TB) - Blue Titanium,"₹1,99,900",3.1,12,https://m.media-amazon.com/images/I/81SigpJN1KL._AC_UY218_.jpg
Apple iPhone 14 Pro (128 GB) - Gold,"₹1,29,900",4.6,745,https://m.media-amazon.com/images/I/71ZDY57yTQL._AC_UY218_.jpg
"HP Laptop 15s, 12th Gen Intel Core i3-1215U, 15.6-inch (39.6 cm), FHD, 8GB DDR4, 512GB SSD, Intel UHD Graphics, Backlit KB, Thin & Light, Dual Speakers (Win 11, MSO 2021, Silver, 1.69 kg), fq5007TU","₹38,879",4.1,"1,731",https://m.media-amazon.com/images/I/71c+XxQTRgL._AC_UY218_.jpg
"realme 11 Pro 5G (Sunrise Beige, 8GB RAM, 256GB Storage) | 120 Hz Curved Display | 100MP Prolight Camera | 7050 5G Dimensity | 67W SUPERVOOC | 12GB Dynamic RAM | Premier Vegan Leather Finish Design","₹23,750",3.9,401,https://m.media-amazon.com/images/I/71HZ0tigFFL._AC_UY218_.jpg
"OnePlus 11 5G (Eternal Green, 8GB RAM, 128GB Storage)","₹56,998",4.3,"4,263",https://m.media-amazon.com/images/I/61amb0CfMGL._AC_UY218_.jpg
